title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Scandinavian Studies,BA,scandinavian-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-ba,28,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/scandinavian-studies-ba,UBASCASING18,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, preferably including a foreign language, with no higher level score below 5.",NA
Economics,BSc (Econ),economics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,UBEECOSABR18,A*AA,"A* in Mathematics required, plus if Economics is offered it must be grade A.",English Language and Mathematics at grade C or 4.,39,A total of 19 points in three higher level subjects including grade 7 in Mathematics and grade 6 in Economics if offered with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.,NA
Economics,BSc (Econ),economics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,30,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,UBEECOSING18,A*AA,"A* in Mathematics required, plus if Economics is offered it must be grade A.",English Language and Mathematics at grade C or 4.,39,A total of 19 points in three higher level subjects including grade 7 in Mathematics and grade 6 in Economics if offered with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.,NA
Fine Art,BA,fine-art-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,31,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,UBFFINSING05,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio. ",NA
Law,LLB,law-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-llb,32,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/law-llb,UBLLAWSING18,A*AA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5.",NA
Medicine,MBBS BSc,medicine-mbbs-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medicine-mbbs-bsc,33,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medicine-mbbs-bsc,UBMMEDSING01,A*AA,Biology and Chemistry required with either at grade A*.,English Language and Mathematics at grade B or 6.,39,"A total of 19 points in three higher level subjects including 6 and 7 in Biology and Chemistry, in either order. No higher level score below 5.",NA
Biochemical Engineering,BEng,biochemical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-beng,34,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biochemical-engineering-beng,UBNBENSING22,AAA,"Mathematics required, plus one from Biology, Chemistry or Physics.",English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, plus one from Biology, Chemistry or Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Biomedical Engineering,BEng,biomedical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-engineering-beng,35,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-engineering-beng,UBNBMDSING22,AAA,"Mathematics and Physics required at grade A. Mathematics and Physics required. Biology acceptable in lieu of Physics, if Physics grade A or 7 achieved at GCSE ",English Language and Mathematics at grade C or 4.,38,"A total of 18 points overall in three higher level subjects, including grade 6 in Mathematics and Physics, with no higher level score below 5. Biology at Higher Level acceptable in lieu of Physics, if Physics taken at Standard Level.The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Chemical Engineering,BEng,chemical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemical-engineering-beng,36,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/chemical-engineering-beng,UBNCENSING22,AAA,"Mathematics and Chemistry required. Biology, Economics, Further Mathematics, Geography, Physics and Psychology preferred.",English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects to include grades 6,6 in Mathematics and Chemistry, with no higher level score below 5. Another science at higher level preferred, but not essential. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Civil Engineering,BEng,civil-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/civil-engineering-beng,37,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/civil-engineering-beng,UBNCIVSING22,A*AA,"No specific subjects, but please note the GCSE requirements below if you are not taking A level Mathematics. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language at grade C or 4. Mathematics and Physics (or Double Award) at grade A or 7 if not offered at A level.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Physics must be offered at either higher or standard level.",NA
