ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UBAFINAYID18,Finnish and Yiddish,BA,Yes,No,No,A49-G32,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-yiddish-ba
10007784,UBAFREAAAL18,French and an Asian or African Language,BA,Yes,No,No,A23-J94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-asian-or-african-language-ba
10007784,UBAFREAENG18,French and English,BA,Yes,No,No,A48-I75,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-english-ba
10007784,UBAFREAGER18,French and German,BA,Yes,No,No,A49-A19,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-german-ba
10007784,UBAFREAHAR18,French and History of Art,BA,Yes,No,No,A49-A22,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-history-of-art-ba
10007784,UBAFREAHEB18,French and Hebrew,BA,Yes,No,No,A48-J88,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hebrew-ba
10007784,UBAFREAHUN18,French and Hungarian,BA,Yes,No,No,A49-A23,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-hungarian-ba
10007784,UBAFREAITA18,French and Italian,BA,Yes,No,No,A49-A24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-italian-ba
10007784,UBAFREALAT18,French and Latin,BA,Yes,No,No,A49-A25,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-latin-ba
10007784,UBAFREANOR18,French and Norwegian,BA,Yes,No,No,A49-A27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-norwegian-ba
10007784,UBAFREAPHI18,French and Philosophy,BA,Yes,No,No,A49-A28,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-philosophy-ba
10007784,UBAFREAPOL18,French and Polish,BA,Yes,No,No,A49-A29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-polish-ba
10007784,UBAFREAPOR18,French and Portuguese,BA,Yes,No,No,A49-A30,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-portuguese-ba
10007784,UBAFREAROM18,French and Romanian,BA,Yes,No,No,A49-A32,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-romanian-ba
10007784,UBAFREARUS18,French and Russian,BA,Yes,No,No,A49-A33,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-russian-ba
10007784,UBAFREASPA18,French and Spanish,BA,Yes,No,No,A49-A39,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-spanish-ba
10007784,UBAFREASRB18,French and Serbian/Croatian,BA,Yes,No,No,A49-A38,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-serbian-croatian-ba
10007784,UBAFREASWE18,French and Swedish,BA,Yes,No,No,A49-A40,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-swedish-ba
10007784,UBAFREAUKR18,French and Ukrainian,BA,Yes,No,No,A49-A35,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-ukrainian-ba
10007784,UBAFREAYID18,French and Yiddish,BA,Yes,No,No,A48-J89,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/french-and-yiddish-ba
10007784,UBAFSHAEES18,Finnish and East European Studies,BA,Yes,No,No,A23-J92,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/finnish-and-east-european-studies-ba
10007784,UBAGERAENG18,German and English,BA,Yes,No,No,A49-H15,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-english-ba
10007784,UBAGERAHAR18,German and History of Art,BA,Yes,No,No,A49-G89,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-of-art-ba
10007784,UBAGERAHEB18,German and Hebrew,BA,Yes,No,No,A48-J90,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hebrew-ba
10007784,UBAGERAHIS18,German and History,BA,Yes,No,No,A24-A04,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-history-ba
10007784,UBAGERAHUN18,German and Hungarian,BA,Yes,No,No,A49-B89,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-hungarian-ba
10007784,UBAGERAITA18,German and Italian,BA,Yes,No,No,A49-G36,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-italian-ba
10007784,UBAGERAJEW18,German and Jewish Studies,BA,Yes,No,No,A49-G90,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-jewish-studies-ba
10007784,UBAGERALAT18,German and Latin,BA,Yes,No,No,A49-H06,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-latin-ba
10007784,UBAGERANOR18,German and Norwegian,BA,No,No,No,A49-G37,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-norwegian-ba
10007784,UBAGERAPHI18,German and Philosophy,BA,Yes,No,No,A49-H10,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-philosophy-ba
10007784,UBAGERAPOL18,German and Polish,BA,Yes,No,No,A49-B50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-polish-ba
10007784,UBAGERAPOR18,German and Portuguese,BA,Yes,No,No,A49-G38,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-portuguese-ba
10007784,UBAGERAROM18,German and Romanian,BA,Yes,No,No,A49-B92,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-romanian-ba
10007784,UBAGERARUS18,German and Russian,BA,Yes,No,No,A49-B93,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-russian-ba
10007784,UBAGERASPA18,German and Spanish,BA,Yes,No,No,A49-A50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-spanish-ba
10007784,UBAGERASRB18,German and Serbian/Croatian,BA,Yes,No,No,A49-B94,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-serbian-croatian-ba
10007784,UBAGERASWE18,German and Swedish,BA,Yes,No,No,A49-G39,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-swedish-ba
10007784,UBAGERAUKR18,German and Ukrainian,BA,Yes,No,No,A49-B96,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-ukrainian-ba
10007784,UBAGERAYID18,German and Yiddish,BA,Yes,No,No,A48-J91,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/german-and-yiddish-ba
10007784,UBAGREAENG18,Greek and English,BA,No,No,No,A24-A06,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/greek-and-english-ba
10007784,UBAHEBAHUN18,Hebrew and Hungarian,BA,Yes,No,No,A49-G40,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-hungarian-ba
10007784,UBAHEBAITA18,Hebrew and Italian,BA,Yes,No,No,A49-G42,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-italian-ba
10007784,UBAHEBAJEW18,Hebrew and Jewish Studies,BA,No,No,No,A24-A08,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-jewish-studies-ba
10007784,UBAHEBAJWA18,Hebrew and Jewish Studies,BA,Yes,No,No,A24-A09,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-jewish-studies-year-abroad-ba
10007784,UBAHEBANOR18,Hebrew and Norwegian,BA,Yes,No,No,A49-G43,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-norwegian-ba
10007784,UBAHEBAPOL18,Hebrew and Polish,BA,Yes,No,No,A49-G44,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-polish-ba
10007784,UBAHEBAROM18,Hebrew and Romanian,BA,Yes,Yes,No,A49-G45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-romanian-ba
