title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Classical Archaeology and Classical Civilisation,BA,classical-archaeology-and-classical-civilisation-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,24,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classical-archaeology-and-classical-civilisation-ba,UBACLAACLC18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Classics and the Ancient World,BA,classics-and-ancient-world-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-ba,25,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/classics-and-ancient-world-ba,UBACLASANC18,AAB,"Language and Literature route: Ancient/Classical Greek or Latin at grade A requiredLiterature, History, Archaeology route: no subject requirementsAncient Middle Eastern Studies route: no subject requirements.",English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects with no higher level score below 5. Language and Literature route: Ancient/Classical Greek or Latin at higher level grade 6 required; Literature, History, Archaeology route: No subject requirements; Ancient Middle Eastern Studies route: No subject requirements.",NA
Creative Arts and Humanities,BA,creative-arts-and-humanities-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/creative-arts-and-humanities-ba,26,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/creative-arts-and-humanities-ba,UBACREAHUM18,AAA,One essay-based Humanities or Social Sciences subject.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, to include one essay based Humanities or Social Sciences subject at grade 6,with no higher level score below 5.",NA
Czech and Danish,BA,czech-and-danish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,27,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-danish-ba,UBACZEADAN18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech and Dutch,BA,czech-and-dutch-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,28,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-dutch-ba,UBACZEADUT18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech (with Slovak) and East European Studies,BA,czech-slovak-and-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,UBACZEAEES18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Finnish,BA,czech-and-finnish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,30,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-finnish-ba,UBACZEAFIN18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and French,BA,czech-and-french-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,31,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-french-ba,UBACZEAFRE18,AAB,French required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including French grade 6, with no higher level score below 5.",NA
Czech and German,BA,czech-and-german-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,32,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-german-ba,UBACZEAGER18,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech and Hebrew,BA,czech-and-hebrew-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,33,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hebrew-ba,UBACZEAHEB18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include Czech or Hebrew, with no higher level score below 5",NA
