ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available
10007784,UBAROMARUS18,Romanian and Russian,BA,Yes,No,No
10007784,UBAROMASPA18,Romanian and Spanish,BA,Yes,No,No
10007784,UBAROMASRB18,Romanian and Serbian/Croatian,BA,Yes,No,No
10007784,UBAROMASWE18,Romanian and Swedish,BA,Yes,No,No
10007784,UBAROMAUKR18,Romanian and Ukrainian,BA,Yes,No,No
10007784,UBAROMAYID18,Romanian and Yiddish,BA,Yes,No,No
10007784,UBARUSAHSE18,Russian and History,BA,Yes,No,No
10007784,UBARUSAPOR18,Russian and Portuguese,BA,Yes,No,No
10007784,UBARUSASPA18,Russian and Spanish,BA,Yes,No,No
10007784,UBARUSASRB18,Russian and Serbian/Croatian,BA,Yes,No,No
10007784,UBARUSASWE18,Russian and Swedish,BA,Yes,No,No
10007784,UBARUSAUKR18,Russian and Ukrainian,BA,Yes,No,No
10007784,UBARUSAYID18,Russian and Yiddish,BA,Yes,No,No
10007784,UBASCAAENG18,Scandinavian Studies and English,BA,Yes,No,No
10007784,UBASCAAHAR18,Scandinavian Studies and History of Art,BA,Yes,No,No
10007784,UBASCAALAT18,Scandinavian Studies and Latin,BA,Yes,No,No
10007784,UBASCAAPHI18,Scandinavian Studies and Philosophy,BA,Yes,No,No
10007784,UBASCASVON18,Viking and Old Norse Studies,BA,Yes,No,No
10007784,UBASERAEES18,Serbian / Croatian and East European Studies,BA,Yes,No,No
10007784,UBASPAAHAR18,Spanish and History of Art,BA,Yes,No,No
10007784,UBASPAALAS18,Spanish and Latin American Studies,BA,Yes,No,No
10007784,UBASPAALAT18,Spanish and Latin,BA,Yes,No,No
10007784,UBASPAAPHI18,Spanish and Philosophy,BA,Yes,No,No
10007784,UBASPAAPOR18,Spanish and Portuguese,BA,Yes,No,No
10007784,UBASPAASWE18,Spanish and Swedish,BA,Yes,No,No
10007784,UBASPAAUKR18,Spanish and Ukrainian,BA,Yes,No,No
10007784,UBASPAAYID18,Spanish and Yiddish,BA,Yes,No,No
10007784,UBASRBAPOR18,Serbian/Croatian and Portuguese,BA,Yes,No,No
10007784,UBASRBASPA18,Serbian/Croatian and Spanish,BA,Yes,No,No
10007784,UBASRBASWE18,Serbian/Croatian and Swedish,BA,Yes,No,No
10007784,UBASRBAUKR18,Serbian/Croatian and Ukrainian,BA,Yes,No,No
10007784,UBASRBAYID18,Serbian/Croatian and Yiddish,BA,Yes,No,No
10007784,UBASWEAPOR18,Swedish and Portuguese,BA,Yes,No,No
10007784,UBASWEAYID18,Swedish and Yiddish,BA,Yes,No,No
10007784,UBAUKRAEES18,Ukrainian and East European Studies,BA,Yes,No,No
10007784,UBAUKRAPOR18,Ukrainian and Portuguese,BA,Yes,No,No
10007784,UBAUKRASWE18,Ukrainian and Swedish,BA,Yes,No,No
10007784,UBAUKRAYID18,Ukrainian and Yiddish,BA,Yes,No,No
10007784,UBAYTHASTF18,"Youth, Society and Sustainable Futures",BA,No,No,No
10007784,UBBASCSABR18,Arts and Sciences with Study Abroad,BASc,Yes,No,No
10007784,UBBASCSING18,Arts and Sciences,BASc,No,No,No
10007784,UBEECOASTA18,Economics and Statistics,BSc (Econ),No,No,No
10007784,UBLLAWSEGL18,English and German Law,LLB,Yes,No,No
10007784,UBLLAWSHKD18,Bachelor of Laws (UCL) and LLB Bachelor of Laws (University of Hong Kong),LLB,Yes,No,No
10007784,UBNEENSEEE22,Electronic and Electrical Engineering,BEng,No,No,No
10007784,UBSARCSAIA18,Architectural and Interdisciplinary Studies,BSc,Yes,No,No
10007784,UBSARCSAIS18,Architectural and Interdisciplinary Studies,BSc,No,No,No
10007784,UBSARCSUDM18,"Urban Planning, Design and Management",BSc,No,No,No
10007784,UBSBIPSMBM18,Bioprocessing of New Medicines (Business and Management),BSc,No,No,No
10007784,UBSBUSAHEA01,Business and Health,BSc,No,No,No
10007784,UBSCSSSING18,Crime and Security Science,BSc,No,No,No
10007784,UBSGEOAECO18,Geography and Economics,BSc,No,No,No
10007784,UBSHPSSING18,History and Philosophy of Science,BSc,No,No,No
10007784,UBSIFCAIMM18,Infection and Immunity,BSc,No,No,No
10007784,UBSMATAPHY18,Mathematics and Physics,BSc,No,No,No
10007784,UBSMATASTA18,Mathematics and Statistical Science,BSc,No,No,No
10007784,UBSMEDSIAE18,Medical Innovation and Enterprise,BSc,No,No,No
10007784,UBSMEDSSAE18,Sport and Exercise Medical Sciences,BSc,No,No,No
10007784,UBSNMSSING18,Nutrition and Medical Sciences,BSc,No,No,No
10007784,UBSPLNAREE19,Urban Planning and Real Estate,BSc,No,No,No
10007784,UBSPOLAINT18,Politics and International Relations,BSc,No,No,No
10007784,UBSPPESING18,"Philosophy, Politics and Economics",BSc,Yes,No,No
10007784,UBSPSYALAN18,Psychology and Language Sciences,BSc,No,No,No
10007784,UBSSBESING18,"Sustainable Built Environments, Energy and Resources",BSc,No,No,No
10007784,UBSSCESSOC18,Science and Engineering for Social Change,BSc,No,No,No
10007784,UBSSPOSSCI18,Sociology and Politics of Science,BSc,No,No,No
10007784,UBSSTAAMAB18,Statistics and Management for Business,BSc,No,No,No
10007784,UBSSTASSEF18,"Statistics, Economics and Finance",BSc,No,No,No
10007784,UBSSTASSEL18,"Statistics, Economics and a Language",BSc,No,No,No
10007784,UFBEENSEEE22,Electronic and Electrical Engineering with Integrated Foundation Year,BEng (Integrated Foundation Year),No,No,Yes
10007784,UFBSCESSOC18,Science and Engineering for Social Change with Integrated Foundation Year,BSc (Integrated Foundation Year),No,No,Yes
10007784,UFMCOMSRAI18,Robotics and Artificial Intelligence with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes
10007784,UFMEENSEEE22,Electronic and Electrical Engineering with Integrated Foundation Year,MEng (Integrated Foundation Year),No,No,Yes
10007784,UMNCOMSRAI18,Robotics and Artificial Intelligence,Integrated MEng,No,No,No
10007784,UMNEENSEEE22,Electronic and Electrical Engineering,Integrated MEng,No,No,No
10007784,UMNENGAARD18,Engineering and Architectural Design,Integrated MEng,No,No,No
10007784,UMNSBESING18,"Sustainable Built Environments, Energy and Resources",Integrated MEng,No,No,No
10007784,UMSBUSAHEA01,Business and Health,Integrated MSCi,Yes,No,No
10007784,UMSHUMSEVL18,Human Sciences and Evolution,Integrated MSCi,No,No,No
10007784,UMSMATAPHY18,Mathematics and Physic,Integrated MSCi,No,No,No
10007784,UMSMATASTA18,Mathematics and Statistical Science,Integrated MSCi,No,No,No
10007784,UMSMEDSIAE18,Medical Innovation and Enterprise,Integrated MSCi,Yes,No,No
10007784,UMSPSYALAN18,Psychology and Language Sciences,Integrated MSCi,No,No,No
