title,degree_type,url_slug,url,row_number,URL,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Mathematics with Management Studies,BSc,mathematics-management-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-management-studies-bsc,355,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-management-studies-bsc,A*A*A,"A*A*A with A*A* in Mathematics and Further Mathematics, or A*AA with A*A in Mathematics and Further Mathematics, any order, and a 2 in any STEP Paper or a Distinction in the Mathematics AEA. Accounting, Biology, Business/Business Management/Business Studies, Chemistry, Computer Science, Economics, English Language, English Literature, Physics and Statistics preferred.",English Language and Mathematics at grade C or 4.,40,"A total of 40 points overall with 20 points in three higher level subjects including 7 in Mathematics, or 39 overall with 19 points in three higher level subjects including 7 in Mathematics and a 2 in any STEP paper or a distinction in Mathematics AEA. The programme will accept higher level 'Mathematics: Analysis and Approaches' only. Accounting, Biology, Business/Business Management/Business Studies, Chemistry, Computer Science, Economics, English Language, English Literature, Physics and Statistics preferred.",NA
Mathematics with Mathematical Physics,BSc,mathematics-mathematical-physics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-mathematical-physics-bsc,356,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mathematics-mathematical-physics-bsc,A*A*A,"A*A*A with A*A* in Mathematics and Further Mathematics and A in Physics, or A*AA with A*A in Mathematics and Further Mathematics and A in Physics, in any order, and a 2 in any STEP Paper or a Distinction in the Mathematics AEA.  ",English Language and Mathematics at grade C or 4.,40,"A total of 40 points overall with 20 points in three higher level subjects including 7 in higher level Mathematics and 6 in higher level Physics, or 39 overall with 19 in three higher level subjects including 7 in higher level Mathematics, 6 in higher level Physics plus a grade 2 in any STEP paper/distinction in Mathematics AEA. The programme will accept higher level 'Mathematics: Analysis and Approaches' only. ",NA
Applied Medical Sciences,BSc,applied-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,357,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/applied-medical-sciences-bsc,AAA,"Biology grade A required, plus one from Chemistry, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Medical Innovation and Enterprise,BSc,medical-innovation-and-enterprise-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medical-innovation-and-enterprise-bsc,358,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medical-innovation-and-enterprise-bsc,AAA,"Biology and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Sport and Exercise Medical Sciences,BSc,sport-and-exercise-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sport-and-exercise-medical-sciences-bsc,359,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sport-and-exercise-medical-sciences-bsc,AAA,"Biology and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Natural Sciences,BSc,natural-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/natural-sciences-bsc,360,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/natural-sciences-bsc,A*AA,"Mathematics and at least one of Biology, Chemistry and Physics required. Biology, Chemistry or Physics preferred as third subject.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 6 in Mathematics and at least one of Biology, Chemistry and Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level. Biology, Chemistry and Physics preferred as third subject.",Please note: certain streams may have prerequisites of particular grades and/or subjects at A level or equivalent; further details can be found on the Natural Sciences website.
Nutrition and Medical Sciences,BSc,nutrition-and-medical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/nutrition-and-medical-sciences-bsc,361,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/nutrition-and-medical-sciences-bsc,AAA,"Biology at grade A and either Chemistry, Mathematics or Physics required.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including 6 in Biology and either Mathematics, Physics or Chemistry, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Pharmacology,BSc,pharmacology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/pharmacology-bsc,362,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/pharmacology-bsc,AAB,"Chemistry required plus one from Biology, Life and Health Sciences, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,36,"A total of 17 points in three higher level subjects including Chemistry and one subject from Biology, Mathematics or Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Physics,BSc,physics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/physics-bsc,363,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/physics-bsc,A*AA,A*A in Mathematics and Physics required (in any order).,English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Theoretical Physics,BSc,theoretical-physics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/theoretical-physics-bsc,364,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/theoretical-physics-bsc,A*AA,A*A in Mathematics and Physics required (in any order).,English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7, 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
